date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2023-10-01,2252399,252399 (2001 TX44),19.41,0.3487827332,0.7799019007,47425.552833141,62129548.281769961,True
2023-10-01,3342645,(2006 SG7),22.84,0.0718712133,0.1607089186,40346.826106311,48840865.860617815,False
2023-10-01,3451020,(2009 EG3),21.31,0.1453968429,0.3251172245,71098.0109047015,20100216.215851677,False
2023-10-01,3606252,(2012 OO),20.64,0.1979497587,0.4426291165,33991.7291708756,25208766.634239112,True
2023-10-01,3740047,(2016 AM165),24.7,0.0305179233,0.0682401509,21746.7219087179,69503194.382538561,False
2023-10-01,3888755,(2019 UQ12),23.8,0.046190746,0.1032856481,64516.5575776706,52119764.31710209,False
2023-10-01,54016634,(2020 HO2),24.3,0.0366906138,0.0820427065,45466.0186505674,57469281.883198158,False
2023-10-01,54217963,(2021 VA6),28.85,0.0045139316,0.010093458,31894.7763409622,19899307.099229962,False
2023-10-01,54244779,(2022 CB1),26.26,0.014878357,0.0332690178,62355.3826068403,73112908.991046014,False
2023-10-01,54304629,(2022 SW),25.14,0.0249203981,0.0557237043,44784.2590807882,57014421.451258604,False
2023-10-01,54380190,(2023 QB10),21.88,0.1118291378,0.250057554,16732.0434664351,41440401.783528138,False
2023-10-01,54383295,(2023 RE11),25.36,0.0225193047,0.050354696,34505.6659429336,8192912.971587096,False
2023-10-01,54385248,(2023 SW1),24.02,0.0417402433,0.0933340215,28243.2311570753,18522644.443987757,False
2023-10-01,54385794,(2023 SY2),26.18,0.0154367182,0.0345175513,35684.2487171859,3495153.517087821,False
2023-10-01,54390661,(2023 TJ),25.22,0.024019003,0.0537081235,83572.0667600648,1792861.701809161,False
2023-10-01,54391043,(2023 TO2),26.55,0.013018321,0.0291098508,43535.427013355,1763661.484126843,False
2023-10-01,54397459,(2023 UC4),24.89,0.0279611466,0.0625230245,40131.9353464456,18469489.31385957,False
2023-10-01,54428637,(2024 DT1),22.18,0.0973991073,0.217791025,38643.2624168996,47682501.368969107,False
2023-10-01,54429759,(2024 EK1),21.93,0.1092835959,0.2443655492,57582.8122273495,55086222.490884424,True
2023-10-01,54490134,(2024 TX9),26.38,0.0140784543,0.0314803809,62761.6611957488,60272713.668818025,False
2023-10-01,54507392,(2024 YB),25.54,0.0207278843,0.0463489584,11450.6707227882,16577656.189462412,False
2023-10-02,2488474,488474 (1999 HD1),20.32,0.229379698,0.5129085974,62121.1321729156,52869438.468233604,False
2023-10-02,3423321,(2008 PW4),22.42,0.0872077289,0.19500241,19601.0326250889,18169884.064650232,False
2023-10-02,3761035,(2016 TB57),26.1,0.0160160338,0.0358129403,47850.5104193084,54807299.222001521,False
2023-10-02,3781908,(2017 SN17),22.77,0.0742258153,0.1659739687,45046.1879319467,28183313.669570855,False
2023-10-02,54054714,(2020 SV6),23.8,0.046190746,0.1032856481,52427.7743783015,70709998.470016038,False
2023-10-02,54055076,(2020 TE2),26.25,0.0149470324,0.0334225806,61186.2638547492,54922948.787523273,False
2023-10-02,54087416,(2020 VF),24.1,0.040230458,0.0899580388,74455.5950844728,70786623.202140027,False
2023-10-02,54316566,(2022 TS2),24.56,0.0325502986,0.0727846803,103058.7083468615,68321577.145966403,False
2023-10-02,54377847,(2023 QU2),20.97,0.1700415193,0.3802243961,15709.4022120355,43777582.530989846,False
2023-10-02,54377968,(2023 QB4),20.0,0.2658,0.5943468684,50052.0996269068,69469307.368307652,False
2023-10-02,54378341,(2023 QE5),24.31,0.0365220357,0.0816657545,21071.9137527626,9667507.957572065,False
2023-10-02,54385240,(2023 SO1),24.83,0.0287445144,0.0642746882,25313.8569079984,11703966.288850849,False
2023-10-02,54390615,(2023 TB),26.81,0.0115492818,0.0258249791,47825.4918283171,982357.90022059,False
2023-10-02,54390824,(2023 TS),27.16,0.009830033,0.0219806221,63667.1571477725,864618.452454938,False
2023-10-02,54391010,(2023 TF1),25.13,0.0250354255,0.0559809132,43954.5230335818,3803306.579151941,False
2023-10-02,54391033,(2023 TD2),24.75,0.0298232505,0.0666868155,48054.4635237872,7996767.021226607,False
2023-10-02,54392426,(2023 TA5),25.62,0.0199781365,0.0446724713,21763.0834766034,5258664.77503361,False
2023-10-02,54392432,(2023 TG5),26.73,0.011982708,0.0267941497,18468.1091589744,6488269.432912675,False
2023-10-02,54392651,(2023 TV6),23.88,0.0445199816,0.0995497053,33967.5477778096,37168777.696040793,False
2023-10-02,54395027,(2023 UJ),26.31,0.0145396843,0.0325117225,23240.9373739735,2761412.496537675,False
2023-10-02,54395893,(2023 UU),23.41,0.0552783379,0.1236061213,19383.3649798029,22241115.522162037,False
2023-10-02,54405060,(2023 VX8),23.99,0.042320908,0.0946324271,33686.6151853027,10159782.382964796,False
2023-10-02,54482429,(2024 SO2),27.9,0.0069912523,0.0156329154,57001.9013735497,60559229.463437251,False
2023-10-03,2221980,221980 (1996 EO),19.11,0.4004561582,0.8954471917,46560.2380556378,28084327.870627551,True
2023-10-03,2349507,349507 (2008 QY),18.5,0.5303407233,1.1858779086,75456.7796296066,6324930.77415637,True
2023-10-03,3136724,(2002 RS129),22.91,0.0695913044,0.1556108872,30181.7764770804,49763980.027320792,False
2023-10-03,3137738,(2002 TA60),20.92,0.1740022951,0.38908096,100877.0921909683,44302065.347874003,False
2023-10-03,3634614,(2013 GT66),25.2,0.0242412481,0.0542050786,60171.6516711156,61550998.281423588,False
2023-10-03,3699892,(2014 WZ365),26.0,0.0167708462,0.0375007522,56420.3150753688,21995035.583010201,False
2023-10-03,3728901,(2015 TA),21.57,0.1289896833,0.2884297004,50652.4951778141,61386415.28254441,False
2023-10-03,3759289,(2016 RL20),23.57,0.0513517179,0.1148259319,40828.597948539,30949307.974871955,False
2023-10-03,3789747,(2017 WD28),25.7,0.0192555078,0.0430566244,37222.489153206,52373155.777351241,False
2023-10-03,3791345,(2017 XV60),25.8,0.0183888672,0.0411187571,41385.506353456,35923494.343637656,False
2023-10-03,3956451,(2019 YS3),24.63,0.0315177333,0.0704757942,17341.1128522013,40141752.517597984,False
2023-10-03,54016766,(2020 HT6),24.7,0.0305179233,0.0682401509,24582.6073522747,68791590.286319109,False
2023-10-03,54054505,(2020 SP1),23.1,0.063760979,0.1425738833,99192.4158630694,70043216.01993834,False
2023-10-03,54131386,(2021 EX3),24.83,0.0287445144,0.0642746882,33947.6983705489,71670249.78435397,False
2023-10-03,54184284,(2021 PF7),27.81,0.0072871041,0.0162944602,20189.5791455947,29356483.413619853,False
2023-10-03,54291608,(2022 OZ1),23.57,0.0513517179,0.1148259319,91239.6500188769,72104397.16448949,False
2023-10-03,54354418,(2023 GW2),25.96,0.0170826395,0.0381979432,32965.7434928194,29977371.959862785,False
2023-10-03,54378774,(2023 QT6),23.65,0.0494942761,0.1106725658,19358.3019285,13891075.67409422,False
2023-10-03,54384203,(2023 RF16),25.65,0.0197040262,0.044059542,19664.9800828219,7733153.104686533,False
2023-10-03,54384766,(2023 RS21),23.7,0.0483676488,0.1081533507,13364.7765115458,31927660.422042869,False
2023-10-03,54390660,(2023 TH),26.91,0.0110294785,0.0246626636,28662.3878505242,1496345.379339157,False
2023-10-03,54390828,(2023 TY),29.15,0.0039314701,0.0087910344,47274.7545572562,204816.478348032,False
2023-10-03,54393138,(2023 TU8),26.42,0.0138214936,0.0309057992,13355.2668107945,10183575.131319585,False
2023-10-03,54395900,(2023 UA1),24.54,0.0328514828,0.0734581487,25347.2662359006,16260926.771269914,False
2023-10-03,54454240,(2024 MD1),25.84,0.0180532326,0.0403682552,26689.5165707607,51365354.540677217,False
2023-10-04,2518635,518635 (2008 HO3),18.17,0.6173834405,1.3805113411,50318.7462375181,19392879.204396744,False
2023-10-04,3648629,(2013 SC20),22.44,0.0864082036,0.1932146172,35943.0301319363,62208351.921830287,False
2023-10-04,3730326,(2015 TT178),20.95,0.1716148941,0.3837425691,86970.2379674983,71107990.019664442,False
2023-10-04,3829483,(2018 RT7),22.97,0.0676947481,0.1513700585,34202.2071228738,61623494.860324927,False
2023-10-04,3841618,(2019 HJ3),24.31,0.0365220357,0.0816657545,41162.4416759915,48343264.419632041,False
2023-10-04,54205444,(2021 TD7),26.66,0.0123752784,0.0276719637,52380.0746375915,9970160.036680119,False
2023-10-04,54265773,(2022 FX1),25.78,0.0185590173,0.0414992243,35716.9680621602,7665209.566878218,False
2023-10-04,54292217,(2022 OC3),28.83,0.0045556985,0.0101868516,11428.5411015141,14366857.083917321,False
2023-10-04,54312818,(2022 SL49),22.86,0.0712122941,0.1592355304,39091.1634111301,51790388.598089781,False
2023-10-04,54376554,(2023 OJ6),20.73,0.1899131235,0.4246586539,17820.9057834784,58914921.214098685,False
2023-10-04,54377955,(2023 QO3),21.67,0.1231841913,0.2754482254,9113.5439394267,41557798.263217028,False
2023-10-04,54380201,(2023 RZ),23.52,0.052547853,0.1175005715,37737.1056698528,10802470.734738377,False
2023-10-04,54380898,(2023 RS2),24.03,0.0415484643,0.0929051906,11573.9977664364,11933117.314159449,False
2023-10-04,54383294,(2023 RC11),24.39,0.035200998,0.0787118244,18636.9670590821,27563398.616507161,False
2023-10-04,54384755,(2023 RN21),24.97,0.0269497646,0.0602615057,28461.1546154895,14829012.536309129,False
2023-10-04,54392936,(2023 RJ69),22.64,0.0788052183,0.1762138252,5787.2378405814,35554376.200164768,False
2023-10-04,54387380,(2023 SN6),25.64,0.0197949759,0.0442629117,30583.2868188509,4825434.235363959,False
2023-10-04,54390629,(2023 TC),26.49,0.0133830462,0.029925401,26562.107092237,851333.892322772,False
2023-10-04,54391018,(2023 TO1),24.48,0.0337718597,0.0755161741,50238.6360943561,13347076.289170289,False
2023-10-04,54391028,(2023 TW1),24.64,0.0313729225,0.0701519874,71387.2808768437,2029528.763463153,False
2023-10-04,54391039,(2023 TJ2),25.98,0.0169260249,0.0378477424,56697.6370847159,8864483.241654996,False
2023-10-04,54392419,(2023 TN4),25.82,0.0182202771,0.0407417781,23131.1058473705,9129690.929022689,False
2023-10-04,54393145,(2023 TA9),26.64,0.0124897854,0.0279280092,20844.3500509024,1162228.39519379,False
2023-10-04,54394001,(2023 TT19),23.18,0.0614546821,0.1374168468,45112.8046100378,35143572.535417445,False
2023-10-04,54395026,(2023 TB23),22.61,0.0799015081,0.1786652037,20062.5162372871,54272403.600496653,False
2023-10-04,54395897,(2023 UX),24.86,0.0283501249,0.0633928065,20106.8107455375,23540495.648486076,False
2023-10-04,54396396,(2023 UT1),26.37,0.0141434375,0.0316256878,29952.5452781062,11084835.233344464,False
2023-10-04,54441078,(2024 JA7),25.76,0.0187307418,0.0418832119,17983.7805509024,40280463.881321918,False
2023-10-04,54489181,(2024 TV6),23.95,0.0431077124,0.0963917753,31041.366889081,16039739.573610977,False
2023-10-05,3607823,(2012 QL14),24.48,0.0337718597,0.0755161741,55387.6495847312,29451197.146189567,False
2023-10-05,3702706,(2014 YS),24.5,0.0334622374,0.0748238376,27998.1320976973,58824432.065538623,False
2023-10-05,3774691,(2017 KZ2),25.0,0.02658,0.0594346868,81359.3885619841,59108153.775860498,False
2023-10-05,3785769,(2017 TJ4),25.2,0.0242412481,0.0542050786,53936.2197661763,32476321.381314509,False
2023-10-05,3795062,(2017 YX4),23.66,0.0492668706,0.1101640716,28690.9306987609,67320918.594233612,False
2023-10-05,3840696,(2019 FV),23.98,0.0425162524,0.0950692305,29408.0540511395,54942384.094000063,False
2023-10-05,3843679,(2019 QO5),23.74,0.0474848397,0.1061793296,33886.3719209783,7615110.706274344,False
2023-10-05,3989456,(2020 CW),32.56,0.0008176265,0.0018282685,69659.3138414285,13941392.16967937,False
2023-10-05,54087658,(2020 VW1),28.3,0.0058150704,0.0130028927,61355.4108691399,65313625.340097483,False
2023-10-05,54088822,(2020 WY),26.2,0.0152951935,0.0342010925,56215.4415623521,72657791.983799623,False
2023-10-05,54186663,(2021 PN26),20.35,0.2262324906,0.5058712276,82676.459302618,62299575.177058013,False
2023-10-05,54202334,(2021 TF1),25.91,0.0174805453,0.0390876876,47358.0125928979,32498395.085585341,False
2023-10-05,54231259,(2021 YB),27.52,0.0083282735,0.0186225856,16840.8055127065,30730158.853714537,False
2023-10-05,54308040,(2022 SY10),26.87,0.0112345318,0.0251211767,65204.5121845042,73634834.38746316,False
2023-10-05,54379680,(2023 QC8),24.68,0.0308003021,0.0688715693,22742.0588134825,6039588.126033684,False
2023-10-05,54381685,(2023 RP5),24.06,0.040978398,0.0916304836,31687.3084769206,13281800.889212572,False
2023-10-05,54382085,(2023 RJ6),24.36,0.0356906927,0.079806815,25815.25147559,14956889.797890858,False
2023-10-05,54383286,(2023 RF10),25.61,0.0200703514,0.0448786701,20835.6308417098,6066366.728195377,False
2023-10-05,54390630,(2023 TD),27.1,0.0101054342,0.0225964377,28804.117835166,938028.685387515,False
2023-10-05,54390829,(2023 TZ),24.19,0.0385971268,0.0863057993,57106.133725725,13996632.37995983,False
2023-10-05,54391012,(2023 TH1),24.93,0.0274507982,0.0613818507,64172.2519203937,10694534.570031908,False
2023-10-05,54391027,(2023 TY1),26.41,0.0138852907,0.0310484539,21610.9126703048,7310632.949720597,False
2023-10-05,54391042,(2023 TN2),28.1,0.0063760979,0.0142573883,26015.2437593419,3127340.450473026,False
